"Date Printed: Tuesday, June 6, 2023 11:21:49 AM"
Title: "HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | Asian | Black/African American | Hispanic/Latino | White | Female | Male | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
The 'Sex' column is used for either sex at birth or gender identity.
NA - Not applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","2021","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","36","2.5","1,446,614"
"HIV diagnoses","2021","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","153","11.1","1,378,041"
"HIV diagnoses","2021","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","2","2.5","80,610"
"HIV diagnoses","2021","Alabama","01","Ages 13 years and older","Hispanic/Latino","Male","All transmission categories","24","26.2","91,431"
"HIV diagnoses","2021","Alabama","01","Ages 13 years and older","Black/African American","Female","All transmission categories","85","14.1","600,766"
"HIV diagnoses","2021","Alabama","01","Ages 13 years and older","Black/African American","Male","All transmission categories","295","58.4","505,504"
"HIV diagnoses","2021","Alabama","01","Ages 13 years and older","Asian","Female","All transmission categories","0","0.0","34,558"
"HIV diagnoses","2021","Alabama","01","Ages 13 years and older","Asian","Male","All transmission categories","7","23.5","29,811"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","White","Female","All transmission categories","37","2.6","1,442,654"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","White","Male","All transmission categories","103","7.5","1,375,491"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","Hispanic/Latino","Female","All transmission categories","2","2.6","76,949"
