geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US01,Alabama,2009,46260.852,366.72845,42845.758,6297.5884,,,53577.762,8539.6328,30531.314,629.96722,38646.875,2012.839,34825.031,19571.35,53656.598,529.95032,41576.379,4420.189,37999.875,3996.8025,35808.77,3849.9541,53274.984,513.97546
04000US01,Alabama,2010,45497.426,322.54239,35330.93,2513.3706,,,53973.254,8107.2944,30337.613,515.2478,36720.336,1860.7689,,,51872.281,505.68088,34604.754,3325.8767,36702.891,3862.1208,38364.918,3852.0583,51483.34,508.41428
04000US01,Alabama,2011,45130.656,364.34329,47401.629,7970.5063,,,56517.117,4064.7461,29420.197,506.7684,37275.973,2248.9919,,,52053.633,617.3963,35856.07,3746.7739,35300.781,3589.811,34802.313,3018.0874,51709.285,553.80182
04000US01,Alabama,2012,44385.391,309.57843,37366.832,7300.729,,,58778.023,7107.9731,29352.18,593.19641,34096.699,2281.2749,44306.387,25420.479,52483.316,497.14273,33805.238,5333.5757,32918.016,3140.9014,32373.555,1362.2749,51938.828,504.93088
04000US01,Alabama,2013,45086.203,410.01062,40334.418,5110.1011,,,61778.484,7929.0044,30735.094,587.19147,36588.543,2145.9993,69526.969,32662.047,52399.07,461.82162,35931.965,5023.7495,39921.957,4250.5176,42734.512,3800.1138,52047.633,464.38019
04000US01,Alabama,2014,44346.824,376.40012,45910.301,6274.1743,,,56509.844,6916.1943,29635.646,549.49377,32785.379,1585.5382,171602.42,74503.297,51849.441,373.88239,28668.57,1805.8392,34374.516,3188.1123,38893.293,3624.2671,51410.426,454.44958
04000US01,Alabama,2015,46295.398,467.74191,54691.969,9507.6094,,,53618.48,2509.7122,30874.631,617.36902,37398.285,3486.689,51852.09,19207.596,53523.336,407.38809,35462.285,6019.0332,38926.574,3631.637,40551.523,2188.4536,53158.266,401.72995
04000US01,Alabama,2016,47242.438,420.31763,51183.648,5759.6553,,,62721.316,5005.9395,32290.555,496.68256,41093.168,3103.6453,26880.709,648.79163,53426.434,391.13754,40304.723,5720.5415,43390.668,4991.4385,45798.316,5628.6553,53214,357.61145
04000US01,Alabama,2017,48123,466.86929,48713,4133.1309,,,71682,5470.5166,31289,461.39816,37578,2523.4043,88520,47617.629,56138,517.93311,33314,2066.8694,37533.906,3039.4824,40552,2080.8511,55771,527.0517
04000US02,Alaska,2009,76497.383,1619.0226,51916.488,1812.1107,,,78550.555,7276.2256,59748.695,6539.2959,65503.734,7415.8325,84398.141,16697.951,84013.102,1682.2278,58522.734,6610.8354,54637.645,7570.9644,53272.699,5574.5498,83844.008,1605.8259
04000US02,Alaska,2010,72590.844,1424.79,45487.309,3109.9375,,,65807.938,4906.4712,63364.109,13403.959,64443.258,10214.07,,,80771.031,1357.1381,58547.277,7557.1958,54966.965,6735.4404,54292.5,2936.3657,80778.898,1303.8367
04000US02,Alaska,2011,73910.102,1290.4377,47027.855,2025.0863,63023.359,7864.7129,63251.574,7039.7749,55904.695,11716.618,67149.492,10253.945,61530.91,14420.046,79937.328,1252.016,77010.352,21659.215,61406.789,9502.5215,57804.074,6393.231,79853.422,1299.0494
04000US02,Alaska,2012,72290.938,1229.2275,45433.797,2640.1782,,,60291.914,4230.9053,45720.988,10880.027,54871.59,3520.2378,54813.938,16461.525,80449.719,1350.5927,52073.348,9929.2246,55344.656,7134.1362,55859.141,4288.0181,79615.906,1418.7389
04000US02,Alaska,2013,76008.586,1210.2029,42830.262,1361.1586,,,80100.641,7057.811,54483.504,8573.123,63680.883,9518.5146,52324.363,6267.8535,83632.914,1758.3762,63123.211,7788.2827,61444,8500.6504,61118.746,4926.5239,83232.023,1808.2683
